10	5416.96783494	2588.19697312	2433.90493495	657.712459018	
50	5477.17368402	2632.06425096	2509.07336595	892.977154009	
70	5472.59757001	2638.03340106	2560.60825366	916.314244529	
100	5463.47938321	2654.36275677	2577.48906329	933.84469208	
200	5450.72675763	2809.09609	2583.07351442	960.651284075	
300	5640.35560666	2934.65223236	2630.35424836	968.833211162	
400	5929.06514728	3074.39528429	2674.32777043	977.607368709	
500	6114.48768955	3189.40312429	2681.44304297	982.401583866	
700	6361.5361439	3470.96723614	2697.87153548	993.199618973	
1000	6512.81865164	3746.1334222	2663.13058054	995.567435383	
1200	6539.69708564	3844.91370774	2609.05175841	997.55824548	
1500	6633.32151192	3919.860908	2581.04522681	1009.53663749	
1700	6885.30459714	4029.10402384	2594.56992012	1011.53024283	
2000	7235.59935062	4133.58287174	2632.60732031	1010.25457566	
2200	7390.9078967	4173.78879716	2665.47866837	1018.08141238	
2500	7573.43765951	4243.36384971	2687.13579883	1010.75976832	
3000	7843.38411804	4316.11085049	2689.90840416	977.198203468	
3500	7980.71994545	4300.38783949	2732.53241577	992.838749929	
4000	8100.82363728	4229.06524442	2712.21252133	1311.98653883	
